FOI Number,FOI Date (Machine),FOI Date (Human),FOI Title,FOI URL,PDF INDEX,PDF COUNT,PDF URL,Processed
3901-2023,2023-05-12T12:00:00Z,12 May 2023,FOI 3901 – release of documents – Application assessment COVID19 vaccine funding,https://www.health.gov.au/resources/foi-disclosure-log/foi-3901-release-of-documents-application-assessment-covid19-vaccine-funding,1,1,https://www.health.gov.au/sites/default/files/2023-05/foi-3901-release-of-documents-application-assessment-covid19-vaccine-funding.pdf,Downloaded
3876-2023,2023-05-12T12:00:00Z,12 May 2023,FOI 3876 – documents released – Documents related to departmental signatories to the COVID-19 contracts,https://www.health.gov.au/resources/foi-disclosure-log/foi-3876-documents-released-documents-related-to-departmental-signatories-to-the-covid-19-contracts,1,1,https://www.health.gov.au/sites/default/files/2023-05/foi-3876-documents-released-documents-related-to-departmental-signatories-to-the-covid-19-contracts.pdf,Downloaded
4305-2023,2023-05-12T12:00:00Z,12 May 2023,"FOI 4305 – release of documents – Correspondence between Minister Hunt's office and the department, regarding a Medical Research Future Fund grant",https://www.health.gov.au/resources/foi-disclosure-log/foi-4305-release-of-documents-correspondence-between-minister-hunts-office-and-the-department-regarding-a-medical-research-future-fund-grant,1,1,https://www.health.gov.au/sites/default/files/2023-05/foi-4305-release-of-documents-correspondence-between-minister-hunt-s-office-and-the-department-regarding-a-medical-research-future-fund-grant.pdf,Downloaded
4060-2023,2023-05-12T12:00:00Z,12 May 2023,FOI 4060 – release of documents – Tender documentation,https://www.health.gov.au/resources/foi-disclosure-log/foi-4060-release-of-documents-tender-documentation,1,1,https://www.health.gov.au/sites/default/files/2023-05/foi-4060-release-of-documents-tender-documentation.pdf,Downloaded
3934-2023,2023-05-12T12:00:00Z,12 May 2023,FOI 3934 – release of document - Documents related to Aged Care RN 24/7 Coverage,https://www.health.gov.au/resources/foi-disclosure-log/foi-3934-release-of-document-documents-related-to-aged-care-rn-247-coverage,1,1,https://www.health.gov.au/sites/default/files/2023-05/foi-3934-release-of-document---documents-related-to-aged-care-rn-24-7-coverage.pdf,Downloaded
3868-2023,2023-05-12T12:00:00Z,12 May 2023,FOI 3868 – released document – GPs in catchment areas,https://www.health.gov.au/resources/foi-disclosure-log/foi-3868-released-document-gps-in-catchment-areas,1,1,https://www.health.gov.au/sites/default/files/2023-05/foi-3868-released-document-gps-in-catchment-areas.pdf,Downloaded
3792-2023,2023-05-12T12:00:00Z,12 May 2023,FOI 3792 – documents released – Draft Clinical Practice Guideline for Attention Deficit Hyperactivity Disorder,https://www.health.gov.au/resources/foi-disclosure-log/foi-3792-documents-released-draft-clinical-practice-guideline-for-attention-deficit-hyperactivity-disorder,1,1,https://www.health.gov.au/sites/default/files/2023-05/foi-3792-documents-released-draft-clinical-practice-guideline-for-attention-deficit-hyperactivity-disorder.pdf,Downloaded
3866-2023,2023-05-12T12:00:00Z,12 May 2023,FOI 3866 – released document – Diversity indicators in EL and SES roles,https://www.health.gov.au/resources/foi-disclosure-log/foi-3866-released-document-diversity-indicators-in-el-and-ses-roles,1,1,https://www.health.gov.au/sites/default/files/2023-05/foi-3866-released-document-diversity-indicators-in-el-and-ses-roles.pdf,Downloaded
3810-2023,2023-05-12T12:00:00Z,12 May 2023,FOI 3810 – released documents – change of ownership Koh-I-Noor Nursing Home,https://www.health.gov.au/resources/foi-disclosure-log/foi-3810-released-documents-change-of-ownership-koh-i-noor-nursing-home,1,1,https://www.health.gov.au/sites/default/files/2023-05/foi-3810-released-documents-change-of-ownership-koh-i-noor-nursing-home.pdf,Downloaded
4047-2023,2023-05-12T12:00:00Z,12 May 2023,FOI 4047 – release of documents – Evaluation report,https://www.health.gov.au/resources/foi-disclosure-log/foi-4047-release-of-documents-evaluation-report,1,1,https://www.health.gov.au/sites/default/files/2023-05/foi-4047-release-of-documents-evaluation-report.pdf,Downloaded
